level;time;correct;attempt;PlayerType;PlayerName;PlayerAlias;PlayerSkill;GuesserType;GuesserName;GuesserAlias;GuesserSkill; 
DM-TokaraForest;2014-6-19 12:0:00;no;41;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;42;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;43;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;44;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;45;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;46;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;47;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;48;human;Player;Santiago;0;bot;ADANN;Conrad;7;
DM-TokaraForest;2014-6-19 12:0:00;no;19;human;Xenija;Todd;0;human;Juan_CVC;Daron;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;epic;Thannis;Harold;1;bot;OvGUBot;Val;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;human;Xenija;Todd;0;bot;Conscious-Robots;Alexander;7;
DM-TokaraForest;2014-6-19 12:0:00;no;2;human;Xenija;Todd;0;bot;Conscious-Robots;Alexander;7;
DM-TokaraForest;2014-6-19 12:0:00;no;1;bot;OvGUBot;Val;7;human;Player;Santiago;0;
DM-TokaraForest;2014-6-19 12:0:00;yes;12;human;Player;Santiago;0;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;no;1;unknown;unknown;;0;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;no;6;bot;OvGUBot;Val;7;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;no;2;unknown;unknown;;0;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;no;3;unknown;unknown;;0;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;no;4;unknown;unknown;;0;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;yes;7;bot;OvGUBot;Val;7;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;yes;1;bot;ADANN;Conrad;7;bot;Conscious-Robots;Alexander;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;8;bot;OvGUBot;Val;7;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;yes;9;bot;OvGUBot;Val;7;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;yes;10;bot;OvGUBot;Val;7;bot;BotTracker;Tanner;4;
DM-TokaraForest;2014-6-19 12:0:00;yes;2;bot;ADANN;Conrad;7;bot;Conscious-Robots;Alexander;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;3;bot;ADANN;Conrad;7;bot;Conscious-Robots;Alexander;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;4;bot;ADANN;Conrad;7;bot;Conscious-Robots;Alexander;7;
DM-TokaraForest;2014-6-19 12:0:00;yes;11;bot;OvGUBot;Val;7;bot;BotTracker;Tanner;4;
